symbol,industry,sector,longBusinessSummary,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,dividendRate,dividendYield,payoutRatio,fiveYearAvgDividendYield,enterpriseValue,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,lastDividendValue,lastDividendDate,totalDebt,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins
BLC.PA,Medical Distribution,Healthcare,"Bastide Le Confort Médical SA engages in the sale and rental of medical equipment for individuals and health professionals in France and internationally. The company provides medical materials, such as lift chairs, bathroom medical equipment, medical measuring devices, medical pillows, sitting posture aids, senior electrostimulation devices, heating products, comfort shoes, natural food supplement, first aid products, shopping carts, senior telephone, pedalboard for the elderly, pressotherapy devices, technical help, bed tables, medical rooms, sleep apnea devices, electric scooter for people with reduced mobility, wheelchair manual and electric, walker and rollators, and walking sicks; and wellness accessories comprising circulatory stimulators, revivals, relaxation, organic natural massage gel and essential oils, and pedicure and foot care products. It offers incontinence products, including absorbent briefs, compete adult change, anatomical protections, urinary protections, traversable straight protections, disposable pads, support briefs, mesh briefs, adult onesie, feminine protections, hygiene incontinence, and incontinence swimsuits. In addition, it offers rental and services for medical bed, wheelchair, air mattress, patient lift, and verticalizer; and professional equipment, such as consumable for healthcare prodessionals, hygiene and disinfection, care and dressings, diagnosis and self-check, medical equipment, and professional health packs products. Bastide Le Confort Médical SA was founded in 1977 and is headquartered in Caissargues, France.",,6.0,7.0,5.0,8.0,6.0,,,,0.9,551895744.0,13.8,25.75,22.632,0.27,1641513600.0,408647008.0,10451125.0,92689000.0,-0.872,0.025,0.66906
LBIRD.PA,Diagnostics & Research,Healthcare,"Lumibird SA designs, manufactures, and sells various lasers for the scientific, industrial, and medical applications worldwide. It operates in two segments, Photonics and Medical. The company offers solid-state and diode lasers, fiber lasers, fiber lasers/amplifiers and components, Laser rangefinder and LiDAR wind doppler LiDAR, medical and ophthalmological equipment. Its products are used in various applications, such as industrial and scientific, defense and space, and lidar sensors. The company was incorporated in 1970 and is headquartered in Lannion, France.",1053.0,6.0,10.0,9.0,8.0,10.0,,,,,257096816.0,6.78,15.48,9.0158,,,153900992.0,-5872375.0,29006000.0,,0.008,0.61105996
MTU.PA,Farm & Heavy Construction Machinery,Industrials,"Manitou BF SA, together with its subsidiaries, engages in the development, manufacture, and provision of equipment and services worldwide. It operates in two divisions, Product, and Services and Solutions. The company offers material handling, access, and earthmoving equipment, including rough-terrain fixed, rotating, and heavy-duty telehandlers; rough-terrain, semi-industrial, and industrial forklift trucks; skid-steer, articulated, backhoe, and track loaders; aerial work platforms; and truck-mounted forklifts, as well as warehousing equipment. It also provides attachments, such as buckets, clamps, cups, fork handling solutions, forks and grapples, jibs, work platforms, skips, sweepers and cleaners, winches, mining accessories, and miscellaneous attachments, as well as backrest, carriage, and interface references. In addition, the company offers value added services comprising technical training, new or refurbished spare parts, after-sales service, machine connectivity, fleet management, financing solutions, maintenance and warranty extension contracts, rent-to-rent leases, full-service contracts, recovery, repair, and resale of used equipment. The company offers its products through a network of dealers under the Manitou, Gehl, and Mustang by Manitou brands in agriculture, construction, industry, aeronautics, defense, environment, mining and quarries, and oil and gas markets. Manitou BF SA was incorporated in 1954 and is headquartered in Ancenis, France.",5274.0,5.0,9.0,8.0,2.0,8.0,1.35,0.0615,0.3169,2.53,1269324928.0,15.12,29.0,17.9242,1.35,1718582400.0,494441984.0,72483128.0,190482000.0,0.313,0.004,0.1885
SCHP.PA,Waste Management,Industrials,"Séché Environnement SA engages in the management, recovery, and treatment of waste products for industrial and corporate customers, and local authorities in France and internationally. The company provides industrial waste management for hazardous and non-hazardous wastes; household waste management; medical waste treatment solutions; total waste management; rehabilitation of polluted sites and soil; regeneration, purification, and chemical synthesis; and industrial water treatment solutions. It also offers sanitation services; chemical cleaning to decontaminate, maintain, and clean industrial facilities; environment interventions and safeguarding, and industrial accident assistance; solid recovered fuels; and biodiversity solutions. Séché Environnement SA was incorporated in 1976 and is headquartered in Changé, France. Séché Environnement SA is a subsidiary of Séché Group SAS.",6100.0,10.0,6.0,4.0,9.0,5.0,1.2,0.014099999,0.38669997,1.57,1285988608.0,69.1,121.4,77.934,1.2,1720396800.0,788441984.0,50892876.0,215979008.0,-0.653,0.019,0.56314
AURE.PA,Waste Management,Industrials,"Aurea SA engages in the recycling of black motor oil in France. The company is also involved in the manufacturing of remold tires from used tires and recycling rigid PVC. It recycles plastics and packaging products; refines and recycles aluminum; recycles copper and produces copper alloys; and treats and recycles zinc, lead, and cadmium. In addition, the comany engages in the treatment and decontamination of mercury waste. The company was formerly known as AUER and changed its name to Aurea SA in 1988. Aurea SA is based in Paris, France.",574.0,,,,,,,,,2.01,71265264.0,4.5,7.3,5.3572,0.15,1657065600.0,46843000.0,8041125.0,26510000.0,-0.771,0.026,0.072129995
BOL.PA,Entertainment,Communication Services,"Bolloré SE engages in the transportation and logistics, communications, and industry businesses in France, rest of Europe, the Americas, Asia, Oceania, and Africa. It operates through Bolloré Logistics, Bolloré Energy, Communications, and Industry segments. The company offers freight forwarding, railroad, and port services; and distributes oil products. It also provides advertising, and communication consulting services; owns and publishes Cnews, a French daily newspaper; provides ticketing and venue services; acts as a pay-TV operator; and operates Mac-Mahon cinema theaters. In addition, it develops batteries based on lithium metal polymer technology for use in electric buses and energy storage solutions, as well as in stationary applications; and polypropylene films for capacitors and electrical components. Further, the company integrates identification, tracking, and mobility solutions for retail, transport, and logistics; provides equipment for pedestrian and vehicle access control; and electric shuttles solutions. The company was founded in 1822 and is based in Puteaux, France. Bolloré SE is a subsidiary of Financière de l'Odet SE.",79405.0,7.0,9.0,6.0,8.0,9.0,0.07,0.0123000005,2.3333,1.36,30993655808.0,5.28,6.425,5.8059,0.02,1725321600.0,8638799872.0,3151212544.0,1755200000.0,37.734,0.7,0.32151002
MRN.PA,Electrical Equipment & Parts,Industrials,"Mersen S.A. manufactures and sells electrical power products and advanced materials in France, North America, rest of Europe, the Asia-Pacific, and internationally. The company offers electrical protection and control products, such as IEC and UL/CSA low voltage general purpose fuses and fuse gears, high and medium voltage fuses, surge protection, lightning protection and power monitoring, and power transfer solutions for rail vehicles; and power management solutions, including high speed fuses, DC protection for electric vehicles and battery, cooling solutions, bus bars, and aluminum electrolytic and film capacitors. It also provides anticorrosion equipment comprising heat exchangers; process technologies; columns, reactors, and pressure vessels; PTFE or PFA bellows, pipes, elbows, and fittings; graphite bursting discs; corrosion resistant materials; and after-sales and maintenance of anticorrosion equipment, as well as graphite specialties, such as isostatic graphite and extruded graphite, carbon insulation, carbon/carbon composites, silicon carbide, and flexible graphite. In addition, the company offers carbon brushes, current collectors, brush-holders, slip ring assemblies, brush gear assembly housing, pantograph contact strips, wheel flange lubrication solutions, dust collectors, and signal and power transfer systems, as well as motor maintenance, services, tools, and training. It serves energy, electronics, transportation, corrosive chemicals, and process industries, as well as other markets comprising building, elevators, ski lifts, defense, and outdoor LED lighting, as well as heating, ventilation, and air conditioning markets. The company was formerly known as Groupe Carb/one Lorraine SA and changed its name to Mersen S.A. in 2010. Mersen S.A. was founded in 1889 and is headquartered in Courbevoie, France.",7372.0,9.0,3.0,2.0,8.0,3.0,1.25,0.060100004,0.4072,2.7,848678592.0,18.8,40.25,20.259,1.25,1719878400.0,437300000.0,-37025000.0,194600000.0,-0.183,0.027,0.32089
NEX.PA,Electrical Equipment & Parts,Industrials,"Nexans S.A. manufactures and sells cables in France, Canada, Norway, Germany, and internationally. It operates through Building & Territories, Generation & Transmission, Industry & Solutions, and Other Activities segments. The company offers cables for the energy distribution networks, as well as equipment cables for buildings. It also provides design, engineering, financing, asset management, and systems management solutions for offshore wind farms, subsea interconnections, onshore high voltage, and subsea data transmissions; and smart solutions for oil and gas sector. In addition, the company offers cabling and connectivity solutions to support OEMs and industrial infrastructure project managers in transport, automatic devices, renewable energy, resources, and other markets. Further, it provides wire rods and electrical wires; and engages in winding wire production operations. The company was incorporated in 1994 and is headquartered in Courbevoie, France.",28541.0,1.0,5.0,6.0,4.0,5.0,2.3,0.025799999,0.39349997,2.34,4722923520.0,85.0,147.0,101.399,2.3,1716249600.0,1930000000.0,91375000.0,652000000.0,0.321,0.054,0.13417
ACA.PA,Banks - Regional,Financial Services,"Crédit Agricole S.A. provides retail, corporate, insurance, and investment banking products and services in France and internationally. It operates through French Retail Banking  Regional Banks; French Retail Banking - LCL; International Retail Banking; Asset Gathering; Large Customers; and Specialised Financial Services segments. The company offers banking products and services, finance, savings, wealth management, payment, and cash flow management services; consumer finance products; savings/retirement, death and disability/creditor/group, and property and casualty insurance products; investment solutions; and banking and specialized financial services. It also provides investment banking, structured finance, international trade finance, commercial banking, capital market, and syndication services; financing solutions for property and equipment investment and renewal requirements; trade receivable financing and management solutions for corporates; asset servicing solutions for investment products, as well as various asset classes, such as execution, clearing, forex, security lending and borrowing, custody, depositary bank, fund administration, middle-office outsourcing solutions, and fund distribution support and issuer services; and online banking services. The company serves retail customers, corporates, banks and financial institutions, government agencies, and local authorities. Crédit Agricole S.A. was founded in 1894 and is headquartered in Montrouge, France. Crédit Agricole S.A. is a subsidiary of SAS Rue La Boetie.",78823.0,3.0,7.0,6.0,2.0,6.0,1.05,0.0721,0.5239,5.35,-199649837056.0,12.118,15.925,13.4668,1.05,1716940800.0,498599985152.0,,,-0.055,0.024,
FII.PA,Aerospace & Defense,Industrials,"Lisi S.A. provides assembly and component solutions for the aerospace, automotive, and medical sectors in France and internationally. It operates through three divisions: LISI Aerospace, LISI Automotive, and LISI Medical. The company offers aeronautic fastener solutions; structural components and parts for aircraft, helicopters, and airplanes; air conditioning and pressurization products, actuation and power components, helicopter rotors, landing gear structures, tanks and accumulators, and wheels and brakes; fan blades, outlet guide vanes, compressor blades, fixed vanes, variable vanes, disks, blisks, impellers, gears, inner and outer rings, and housings, as well as accessories and equipment, hot and cold section products for jet engines and turboshafts; and defense and space products. It also provides threaded fasteners, including screws, bolts, nuts, washers, special parts, etc. for industrial and automotive systems; clipped solutions, such as panel and trim fasteners, clipped nuts and screws, fasteners and connectors for cables and tubes, anti-creep rings, etc.; and braking systems, seating, occupant safety systems, fuel system components, etc. In addition, the company offers reconstruction implants and instruments, and spine and orthopedic implants; components and instruments for manual or robotic mini-invasive surgery; and components for laparoscopy, endoscopy, cardiovascular, neuro-cerebral surgery, etc. The company was formerly known as GFI Industries and changed its name to Lisi S.A. in 2002. The company was founded in 1777 and is headquartered in Belfort, France.",10143.0,10.0,8.0,8.0,9.0,9.0,0.31,0.0112,0.2583,1.53,1803675008.0,20.5,29.3,23.635,0.31,1714435200.0,689520000.0,31632000.0,180152000.0,1.345,0.106,0.48929
SOP.PA,Information Technology Services,Technology,"Sopra Steria Group SA provides consulting, digital, and software development services in France and internationally. It operates through five segments: France, United Kingdom, Other Europe, Sopra Banking Software, and Other Solutions. The company offers digital transformation consulting services; artificial intelligence; technology services in the field of artificial intelligence, blockchain, cloud, data, internet of things, digital interactions, emerging technologies, 5G design center, industrial metaverse, and intelligent process automation; systems integration comprising smart application modernization and product lifecycle management; infrastructure management services, including consulting, cloud, end-user support, digital workplace, and legacy services; and cybersecurity services. It also provides property management solutions; banking solutions, such as software, systems integration, support, and associated consulting services to banks and financial institutions; and HR solutions to public and private sector organizations, as well as acts as a software house, integrator, advisor, and cloud player. In addition, the company offers business process services, such as creation or on-boarding, and operation of multi-function shared services; and operation of finance and administration, and human resource functions, as well as operation of specialized industry-specific business processes comprising operating and executing services in police control rooms, managing compliance in financial services, and managing customer services for large utilities. It serves aerospace, defense and security, energy and utilities, financial services, insurance and social, government, retail, telecommunication, media and entertainment, and transport industries. Sopra Steria Group SA was incorporated in 1968 and is headquartered in Paris, France.",52413.0,6.0,5.0,1.0,6.0,3.0,4.65,0.026400002,0.42700002,1.71,5122201600.0,158.4,239.6,171.61,4.65,1716854400.0,1656999936.0,208737504.0,549400000.0,0.091,0.102,0.14738
MAU.PA,Oil & Gas E&P,Energy,"Etablissements Maurel & Prom S.A. engages in exploration and production of oil and gas, and hydrocarbons in Gabon, Tanzania, Angola, Colombia, and France. The company operates through three segments: Exploration, Production, and Drilling. It offers drilling services. The company was founded in 1831 and is headquartered in Paris, France. Etablissements Maurel & Prom S.A. is a subsidiary of PT Pertamina Internasional Eksplorasi dan Produksi.",760.0,10.0,5.0,7.0,4.0,6.0,0.3,0.0467,0.2493,2.83,1196539648.0,4.7,6.865,5.73376,0.3,1719964800.0,195178000.0,210492624.0,322316000.0,0.916,0.378,1.0
ATO.PA,Information Technology Services,Technology,"Atos SE provides digital transformation solutions and services worldwide. It offers advanced computing solutions; analytics, artificial intelligence, and automation solutions; cloud solutions; customer journey analytics and digital customer experience; decarbonization solutions; digital consulting; digital workplace solutions; edge computing and Internet of things solutions; and modern applications and platforms. The company also provides advance detection and response, data protection and governance, digital workplace security, IoT and OT security, trusted digital identities, and cybersecurity solutions; and infrastructure and foundation services. It serves financial services and insurance, healthcare and life sciences, manufacturing, public sector and defense, resources and services, and telecommunication and media industries. The company was incorporated in 1982 and is headquartered in Bezons, France.",91611.0,3.0,4.0,4.0,1.0,3.0,,,,1.6,5108233216.0,0.0015,2.743,0.09066,0.006686,1620950400.0,5872000000.0,-796750016.0,-1206000000.0,,-0.1,0.45731
TEP.PA,Specialty Business Services,Industrials,"Teleperformance SE, together with its subsidiaries, engages in the customers consultancy services in France and internationally. The company operates in two segments, Core Services and Digital Integrated Business Services, and Specialized Services. The company offers customer relationship operations, technical support, technical assistance and customer acquisition services, management of business processes, back office and digital platform services, consulting, data analysis services, on-line interpretation, visa application management, health management services, and accounts receivable credit management services, and recruitment process outsource services. It also provides digital CX, trust and safety, artificial intelligence, video CX, metaverse, CX management, advanced analytics, business transformation consulting, technology as a service, collection service, interpretation and translation, and healthcare support services. The company serves automotive, energy and utilities, insurance, government, technology, travel and hospitality, and banking and financial services, as well as healthcare, media, retail and e-commerce, cargo, telecom, and video games industries. Teleperformance SE was incorporated in 1910 and is headquartered in Paris, France.",360980.0,1.0,3.0,5.0,5.0,3.0,3.85,0.0423,0.3695,1.5,9881578496.0,79.32,142.7,85.6704,3.85,1716854400.0,5459999744.0,1039875008.0,1556000000.0,0.052,0.282,0.31119
RMS.PA,Luxury Goods,Consumer Cyclical,"Hermès International Société en commandite par actions engages in the production, wholesale, and retail of various goods. The company offers leather goods and saddlery, such as bags for men and women, travel articles, small leather goods and accessories, saddles, bridles, and a full range of equestrian products and clothing; ready-to-wear garments for men and women; and accessories, including jewelry, belts, hats, gloves, the Internet of Things products, and shoes. It also provides silk and textiles for men and women; art of living and tableware products; perfumes; and watches. In addition, the company is also involved in weaving, engraving, printing, dyeing, finishing, and producing textiles; and purchasing, tanning, dyeing, finishing, and selling precious leathers. It sells its products through a network of stores worldwide. The company also sells watches, perfumes, and tableware through a network of specialized stores. Hermès International Société en commandite par actions was founded in 1837 and is based in Paris, France. Hermès International Société en commandite par actions operates as a subsidiary of H51 SAS.",23242.0,5.0,8.0,8.0,10.0,9.0,15.0,0.0055,0.3534,0.58,277910290432.0,1888.0,2754.0,2381.26,10.0,1714608000.0,2180999936.0,3285374976.0,4465999872.0,0.062,0.12,0.71454
AKW.PA,Auto Parts,Consumer Cyclical,"Akwel SA manufactures automotive and heavy goods vehicle components in France and internationally. It offers fluid management, mechanisms, and structural parts for electric vehicles. The company's products include body pipes, flow regulation valves, anti-return valves, pulsation dampeners or temperature, and pressure sensors; air distributors, turbo air intake and output pipes and exchangers, exhaust gas recirculation pipes, and cylinder head covers, as well as a range of solutions for cooling and combining. It also offers electronic management of hardware, software, transfer, storage, reheating, and pumping systems; and manages washer systems, including storage, pumping, transfer, and jet. The company was formerly known as MGI Coutier SA and changed its name to AKWEL in June 2018. The company was founded in 1972 and is based in Champfromier, France. Akwel SA operates as a subsidiary of Coutier Junior.",9351.0,7.0,9.0,4.0,8.0,7.0,0.3,0.0378,0.2174,2.2,105242920.0,7.71,17.22,8.0388,0.3,1717372800.0,35375000.0,11092625.0,97168000.0,-0.089,-0.031,0.54616
MMT.PA,Broadcasting,Communication Services,"Métropole Télévision S.A. provides a range of programs, products, and services on various media. The company operates through Television, Radio, Production and Audiovisual Rights, and Diversification segments. It operates free-to-air channels, including M6, W9, 6TER, and Gulli; pay channels, such as Paris Première, Téva, sérieclub, Canal J, Tiji, M6 Music, MCM, MCM Top, and RFM TV; on-demand televisions comprising 6play, Gulli Max, and Gulli Replay; and advertising agency, as well as produces news magazines comprising Capital, Zone Interdite, Enquête Exclusive, 66 Minutes, and Enquêtes criminelles for W9. In addition, the company operates radio stations that include RTL, RTL2, and Fun Radio; distributes audiovisual film rights; and produces and co-produces films. Further, it engages in the TV channel broadcasting business; production, and co-production activities. Additionally, the company engages in the digital production and publishing, merchandising rights exploitation, estate agency, animated feature films production, production, Internet content and access provision, digital production and publishing, merchandising rights exploitation, estate agency, animated feature films production, Internet content and access provision, and print publications. Furthermore, it sells house, as well as develops cinematographic works. Métropole Télévision S.A. was incorporated in 1986 and is headquartered in Neuilly-sur-Seine, France.",1558.0,4.0,8.0,8.0,6.0,8.0,1.25,0.0992,0.73660004,5.46,1454987776.0,10.48,14.96,11.4632,1.25,1714435200.0,137100000.0,110062496.0,240800000.0,-0.188,0.057,0.30892
CDA.PA,Leisure,Consumer Cyclical,"Compagnie des Alpes SA, together with its subsidiaries, engages in the operation of leisure facilities in France. The company operates through Ski Areas and Leisure Parks segments. The Ski Areas segment operates ski lifts; and maintains slopes. This segment also operates ski resorts. The Leisure Parks segment is involved in the operation of amusement parks, combined amusement and animal parks, water parks, waxwork museums, and tourist sites. Compagnie des Alpes SA was founded in 1989 and is headquartered in Paris, France.",6300.0,2.0,7.0,8.0,1.0,7.0,0.91,0.0626,0.4195,2.45,1511035904.0,12.32,17.2,15.3352,1.0,1742515200.0,1123159040.0,-35730752.0,324657984.0,0.183,0.122,0.84957004
DBG.PA,Waste Management,Industrials,"Derichebourg SA provides environmental services to businesses, and local and municipal authorities worldwide. The company's Environment services division offers range of services, which include collection, ferrous scrap and non-ferrous metal, ELV, and industrial demolition and deconstruction for industry application; waste collection, urban cleaning, and landfill management services for local governments; and waste electrical and electronic equipment, and equipment and furniture waste for collective schemes. It's Multiservices provides services to buildings and facilities, such as cleaning and related services, industrial cleaning, green spaces, etc., occupant services including reception, mail and services, etc. for services application; city and outdoor services, such as public lighting, etc. for urban areas; solution for automotive, agri-food, health and pharmaceutical industries, as well as aeronautic solutions; and temporary solutions including general and specialized temporary staffing, temporary aeronautics and wind farm staffing, and sourcing; and HR solutions, such as recruitment, training, and outsourcing services. The company was founded in 1956 and is headquartered in Paris, France.",,5.0,8.0,9.0,10.0,9.0,0.16,0.0327,0.2807,2.55,1552178816.0,3.858,5.49,5.12696,0.13,1739145600.0,909500032.0,58200000.0,314400000.0,-0.557,-0.049,0.2351
